date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_mean,wind_speed_10m_max,cloud_cover_mean,shortwave_radiation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,rain_sum
2019-01-01,26.815092,25.020996,85.708015,91.31751,77.23299,2.1347947,,25.799965,26.815092,25.020996,13.768294,17.70523
2019-01-02,28.86423,24.866518,82.71841,92.34554,65.24041,4.727908,,26.298769,28.86423,24.866518,11.890161,16.821505
2019-01-03,27.511778,23.711008,84.71349,91.36351,80.23677,2.2394896,,25.646866,27.511778,23.711008,12.206211,16.82447
2019-01-04,28.759325,24.105497,82.70858,92.38148,68.23312,0.47017232,,26.244965,28.759325,24.105497,11.270189,15.941787
2019-01-05,29.206875,24.749987,81.70367,92.399445,66.22949,1.172232,,26.693064,29.206875,24.749987,10.64683,14.172985
2019-01-06,28.954424,25.294474,79.69875,90.4174,67.225845,1.0521733,,26.841166,28.954424,25.294474,10.336374,16.242752
2019-01-07,29.801973,24.038963,78.69383,92.435356,55.222202,0.6995868,,26.589264,29.801973,24.038963,11.278982,15.064132
2019-01-08,28.649519,25.083456,75.68893,84.45333,65.21856,0.2325841,,26.68736,28.649519,25.083456,10.341767,18.021084
2019-01-09,29.49707,23.577946,73.68402,92.47129,59.214928,0.46396312,,26.63546,29.49707,23.577946,12.852224,15.3649645
2019-01-10,27.694616,25.272432,80.6791,91.489265,74.21129,1.8511027,,26.533558,27.694616,25.272432,11.287839,15.3677025
2019-01-11,27.892164,25.516922,86.67419,92.507225,80.20764,9.578314,,26.531656,27.892164,25.516922,10.349904,15.666032
2019-01-12,30.239714,24.161413,75.66927,91.52519,65.204,0.115113035,,27.229755,30.239714,24.161413,11.29378,18.625212
2019-01-13,31.887262,23.405903,69.66436,92.54316,54.200356,0.0,,27.677855,31.887262,23.405903,13.179554,21.28976
2019-01-14,30.984812,26.400393,73.65944,78.56113,64.19672,0.45819455,,28.125954,30.984812,26.400393,15.380214,18.336134
2019-01-15,28.68236,24.64488,83.65453,86.579094,80.19308,1.9426309,,26.874052,28.68236,24.64488,14.128432,16.86044
2019-01-16,29.879908,25.13937,82.64961,92.59706,66.18944,0.79800016,,27.47215,29.879908,25.13937,10.677651,14.792514
2019-01-17,29.327457,26.03386,85.64471,92.61502,64.1858,3.525675,,27.020248,29.327457,26.03386,10.366363,14.795175
2019-01-18,29.375004,25.878347,80.63979,92.63298,64.18216,0.7942661,,27.568348,29.375004,25.878347,10.054913,18.941236
2019-01-19,28.722551,25.872839,82.63488,92.65095,72.17851,1.8112853,,27.266449,28.722551,25.872839,13.829203,20.424704
2019-01-20,29.270102,25.917328,78.62996,88.668915,66.17487,0.3388429,,27.31455,29.270102,25.917328,15.0904455,18.652012
2019-01-21,30.167648,24.311817,76.62505,92.686874,56.17123,0.22538686,,27.162645,30.167648,24.311817,12.893217,18.65539
2019-01-22,28.615198,25.556307,84.62013,92.70484,69.16759,4.3852634,,26.910742,28.615198,25.556307,12.582134,17.770254
2019-01-23,28.862745,25.700796,83.61522,92.72281,71.163956,0.44878078,,27.108843,28.862745,25.700796,12.27089,18.958378
2019-01-24,28.060297,24.995285,85.610306,92.740776,75.16032,1.2314614,,26.506939,28.060297,24.995285,12.903654,15.406483
2019-01-25,29.707846,25.389772,82.60539,92.75874,65.15666,1.452231,,27.05504,29.707846,25.389772,11.333108,16.890947
2019-01-26,28.605392,25.384264,87.60048,92.7767,77.15303,5.0162525,,26.75314,28.605392,25.384264,11.65108,13.9301605
2019-01-27,28.152943,25.428753,86.595566,92.79467,78.14938,5.1169276,,26.701237,28.152943,25.428753,9.449394,14.525585
2019-01-28,29.70049,25.323244,81.59066,92.81264,68.14575,2.3311234,,27.399336,29.70049,25.323244,10.082101,15.71422
2019-01-29,29.848038,24.91773,81.58575,92.8306,71.1421,0.7754403,,27.147436,29.848038,24.91773,10.715162,15.717097
2019-01-30,30.145586,24.91222,75.58083,92.84856,57.138466,0.33165416,,27.395535,30.145586,24.91222,10.087621,15.719976
2019-01-31,30.043137,25.35671,81.57592,92.86653,64.13483,2.206569,,27.143633,30.043137,25.35671,11.036365,15.722863
2019-02-01,28.490685,25.651197,86.571,92.8845,82.13118,5.2852,,27.04173,28.490685,25.651197,11.670225,17.80274
2019-02-02,30.738232,25.44569,83.566086,92.902466,69.12755,0.4395638,,27.83983,30.738232,25.44569,12.30444,18.39955
2019-02-03,30.535782,26.49018,80.56117,88.920425,66.1239,0.5483813,,27.887928,30.535782,26.49018,12.623426,14.841084
2019-02-04,31.133327,26.28467,79.55626,92.938385,65.120255,1.3135712,,28.636028,31.133327,26.28467,10.10154,17.218838
2019-02-05,32.180878,25.129158,74.55135,92.95636,59.116623,0.21850967,,28.534128,32.180878,25.129158,12.314669,19.59747
2019-02-06,30.778427,25.073648,76.54643,91.97432,63.112976,0.43619186,,27.932224,30.778427,25.073648,14.529034,20.195072
2019-02-07,31.475977,26.018139,77.54152,92.99228,59.109337,0.76190525,,28.430326,31.475977,26.018139,13.901215,20.19882
2019-02-08,29.223522,26.312628,79.536606,86.01025,71.1057,0.8691338,,27.578423,29.223522,26.312628,14.853175,20.499668
2019-02-09,30.12107,26.507116,75.53169,88.02821,59.10205,0.433769,,27.926525,30.12107,26.507116,14.857333,19.909178
2019-02-10,29.91862,25.601604,76.52678,93.04617,59.098415,0.5412258,,27.524622,29.91862,25.601604,14.229101,16.3464
2019-02-11,28.916166,25.696095,80.521866,91.06414,69.09477,1.1885544,,27.122719,28.916166,25.696095,12.019068,13.971346
2019-02-12,29.963717,26.040585,79.51695,91.08211,65.09113,2.0493002,,27.620817,29.963717,26.040585,10.124175,14.865911
2019-02-13,28.711264,25.885073,83.51204,90.10007,76.087494,3.3376985,,27.26892,28.711264,25.885073,10.759975,17.247684
2019-02-14,30.458815,25.529562,80.507126,93.11804,62.083847,1.2897565,,27.717018,30.458815,25.529562,12.029263,16.953487
2019-02-15,29.306362,25.12405,81.50221,90.136,72.08021,1.2875265,,27.265116,29.306362,25.12405,12.032678,16.064213
2019-02-16,29.70391,25.66854,74.49729,93.15397,57.07657,1.2853221,,27.763212,29.70391,25.66854,11.085883,16.662313
2019-02-17,29.651457,25.913029,52.492386,76.17194,40.072926,4.1702147,,27.511312,29.651457,25.913029,11.405874,18.153435
2019-02-18,30.299007,25.75752,45.487473,46.189903,41.069283,1.0674905,,27.75941,30.299007,25.75752,12.993737,19.34747
2019-02-19,29.296555,24.052008,54.48255,62.207863,50.065647,1.9182878,,26.857508,29.296555,24.052008,12.997458,16.374027
2019-02-20,28.844107,25.0465,54.477646,60.225822,51.062004,6.809346,,26.955608,28.844107,25.0465,11.41568,16.674889
2019-02-21,29.391653,25.090992,66.47273,73.2438,60.058365,1.1684476,,27.203707,29.391653,25.090992,12.053352,17.869335
2019-02-22,27.639202,25.33548,79.46781,82.261765,76.05472,6.7872577,,26.451805,27.639202,25.33548,12.056829,15.787573
2019-02-23,29.036749,25.479967,76.462906,83.279724,68.05108,6.564633,,27.049906,29.036749,25.479967,11.108184,16.684374
2019-02-24,29.484297,24.42446,74.457985,84.29768,60.04744,2.3256934,,26.848003,29.484297,24.42446,9.841529,10.72771
2019-02-25,28.981848,25.668947,76.45308,86.31565,69.0438,2.2164934,,27.246103,28.981848,25.668947,7.9390216,13.710239
2019-02-26,28.979397,25.413437,76.44816,84.33362,66.04015,2.6345775,,27.0442,28.979397,25.413437,9.529599,16.0977
2019-02-27,29.476944,24.957926,72.44325,82.35158,59.036522,1.4730895,,26.942299,29.476944,24.957926,11.12111,16.100777
2019-02-28,30.27449,25.802414,69.43834,81.36955,56.032875,2.1011996,,27.940397,30.27449,25.802414,11.124362,18.48961
2019-03-01,29.12204,25.896906,72.433426,81.38751,65.029236,4.9303474,,27.438498,29.12204,25.896906,13.353146,17.300047
2019-03-02,27.869589,25.641396,72.428505,79.40548,68.02559,2.1996183,,26.686596,27.869589,25.641396,11.448916,18.19837
2019-03-03,29.617138,24.285883,70.42359,81.42344,59.02195,0.20917626,,26.734697,29.617138,24.285883,11.452287,12.830823
2019-03-04,30.06341,25.63152,70.4324,82.45792,60.02539,0.63189083,,27.632181,30.06341,25.63152,9.232603,14.609878
2019-03-05,29.159496,25.327314,71.44317,79.49475,66.02984,1.6986307,,27.47958,29.159496,25.327314,10.514918,16.383923
2019-03-06,30.205584,26.373114,68.45393,78.53158,61.034286,0.85607874,,28.376976,30.205584,26.373114,11.799378,17.261877
2019-03-07,29.60167,26.31891,72.46471,80.56841,66.038734,2.8041368,,28.074371,29.60167,26.31891,12.76681,19.624962
2019-03-08,30.497759,25.214706,71.47549,81.60524,59.04319,0.43475667,,27.92177,30.497759,25.214706,13.416412,15.745114
2019-03-09,30.743845,26.560505,67.48624,80.642075,51.047638,0.5476156,,28.469168,30.743845,26.560505,11.189726,17.808458
2019-03-10,30.839933,26.506306,64.49702,74.67891,54.052086,0.66211987,,28.416563,30.839933,26.506306,12.798976,16.30959
2019-03-11,28.986021,25.7021,68.507774,70.71574,65.05653,0.8894378,,27.46396,28.986021,25.7021,12.489452,17.183582
2019-03-12,29.982107,25.847902,65.51855,71.75257,59.06099,0.33600727,,27.761358,29.982107,25.847902,11.858879,17.463982
2019-03-13,30.078197,25.6437,67.52931,75.78939,56.06543,1.3538574,,27.658754,30.078197,25.6437,12.189565,15.673742
2019-03-14,28.774284,27.089497,69.540085,72.826225,64.06988,5.454566,,27.65615,28.774284,27.089497,10.915558,17.432293
2019-03-15,28.670372,25.835295,70.55084,76.86306,61.074333,5.379078,,27.053549,28.670372,25.835295,12.209911,18.302063
2019-03-16,27.116459,25.431091,77.56162,81.89989,71.07878,21.091948,,26.200947,27.116459,25.431091,12.541664,18.875319
2019-03-17,28.512547,26.22689,75.57238,79.93672,68.08322,20.426743,,27.198345,28.512547,26.22689,12.873947,18.858204
2019-03-18,27.958633,26.072687,77.583145,82.97355,74.08768,3.2721336,,26.995739,27.958633,26.072687,11.918299,15.897187
2019-03-19,29.104723,25.868486,75.59392,86.01038,65.092125,1.0589333,,27.343138,29.104723,25.868486,11.283428,16.765158
2019-03-20,28.60081,25.064283,86.60468,94.04721,76.09657,3.0797808,,26.790533,28.60081,25.064283,11.938089,14.399096
2019-03-21,29.046896,26.010078,86.61546,94.084045,75.10102,1.9078947,,27.337933,29.046896,26.010078,9.364633,15.854019
2019-03-22,28.742985,26.10588,88.62623,94.12088,77.10547,4.201059,,27.135328,28.742985,26.10588,10.988313,15.546341
2019-03-23,29.689074,26.101675,82.63699,94.15771,64.109924,4.470104,,27.58273,29.689074,26.101675,10.673945,15.825328
2019-03-24,29.335161,25.247475,84.64776,94.194534,70.114365,0.48637438,,26.930124,29.335161,25.247475,11.653922,15.225412
2019-03-25,29.681246,25.493273,84.65853,94.23136,69.11881,0.7342207,,27.377522,29.681246,25.493273,10.691576,15.211638
2019-03-26,27.527336,25.33907,91.66929,94.26819,88.12327,3.694298,,26.624916,27.527336,25.33907,10.700388,14.321084
2019-03-27,29.273422,26.134867,87.68007,94.30502,78.12771,1.6108694,,27.672314,29.273422,26.134867,9.735637,14.308135
2019-03-28,28.869513,25.380665,89.69083,94.341866,84.132164,2.7429483,,27.369713,28.869513,25.380665,10.39322,13.419986
2019-03-29,31.8156,26.326464,85.7016,94.378685,66.13661,0.75265557,,28.36711,31.8156,26.326464,9.426596,13.116383
2019-03-30,29.161688,25.77226,85.71237,94.41553,75.14106,0.50480956,,27.464506,29.161688,25.77226,10.410296,16.307865
2019-03-31,29.157774,24.918058,84.72314,94.45236,72.14551,0.88871235,,27.011904,29.157774,24.918058,11.07001,15.129341
2019-04-01,29.403862,25.813858,79.7339,93.48918,70.149956,0.8939854,,27.5093,29.403862,25.813858,10.753223,13.662249
2019-04-02,30.349949,25.709656,78.744675,94.52602,52.154404,0.38538665,,27.656698,30.349949,25.709656,9.783656,14.521189
2019-04-03,30.046038,25.155453,82.75544,94.56284,67.15885,0.9044631,,27.454096,30.046038,25.155453,10.444429,13.6376
2019-04-04,30.492126,26.90125,79.766205,91.59968,68.1633,0.7797158,,28.401493,30.492126,26.90125,10.126304,14.205098
2019-04-05,29.738213,25.097048,85.77698,94.636505,77.16775,1.4376237,,27.64889,29.738213,25.097048,10.788404,13.613008
2019-04-06,30.0843,26.142847,80.78774,90.67335,69.172195,1.0514427,,27.946287,30.0843,26.142847,10.47001,10.99634
2019-04-07,29.930386,26.638645,84.79851,94.71017,74.17665,2.3789608,,28.093681,29.930386,26.638645,7.8588996,14.744941
2019-04-08,32.326473,24.784441,81.80928,94.74701,59.1811,1.7276418,,28.19108,32.326473,24.784441,10.487053,10.398814
2019-04-09,29.172564,27.480242,84.820045,91.78384,80.18555,5.6121845,,28.188478,29.172564,27.480242,7.8716807,13.563999
2019-04-10,28.46865,26.176039,88.83081,94.82066,82.189995,4.2991457,,27.385874,28.46865,26.176039,9.519332,13.840119
2019-04-11,29.66474,26.071833,83.841576,94.85749,66.194435,5.1326637,,27.683271,29.66474,26.071833,9.198529,14.691886
2019-04-12,28.310823,25.567633,88.85234,94.894325,85.19889,5.024188,,26.980665,28.310823,25.567633,10.521119,13.815212
2019-04-13,28.256912,25.363432,87.86311,94.93115,75.20334,2.047569,,26.828068,28.256912,25.363432,9.871528,14.377893
2019-04-14,28.403002,25.35923,91.87388,94.96799,83.20779,12.349561,,26.575466,28.403002,25.35923,9.879506,14.077658
2019-04-15,28.24909,25.855026,88.88464,95.00482,84.212234,4.6895213,,27.122862,28.24909,25.855026,9.887483,17.79653
2019-04-16,27.645178,26.000826,88.89542,95.04166,82.21668,1.8022404,,26.82026,27.645178,26.000826,12.864094,18.927654
2019-04-17,28.541265,25.64662,85.90618,95.078476,75.22113,3.6227815,,26.817656,28.541265,25.64662,13.8647995,17.478016
2019-04-18,28.08735,25.14242,86.91695,95.11531,74.225586,2.6607347,,26.565052,28.08735,25.14242,12.224059,15.458438
2019-04-19,27.833437,25.288218,92.92772,95.152145,88.230034,13.229249,,26.362452,27.833437,25.288218,10.911304,16.30258
2019-04-20,28.979527,24.884018,85.93849,95.18897,77.23448,1.2728865,,26.909845,28.979527,24.884018,11.581892,17.430948
2019-04-21,29.375618,24.729813,85.94925,95.2258,67.23893,11.227802,,26.507244,29.375618,24.729813,12.915894,17.415297
2019-04-22,29.321703,24.77561,82.96002,95.26264,68.24338,0.9996944,,26.70464,29.321703,24.77561,11.600476,10.839134
2019-04-23,29.71779,24.37141,82.970795,95.29948,63.247826,1.0045003,,27.002039,29.71779,24.37141,7.6292744,9.689469
2019-04-24,28.713879,25.917208,86.98156,95.33629,81.25227,0.28836763,,27.499435,28.713879,25.917208,7.635378,15.660076
2019-04-25,29.359966,25.313005,77.99232,87.37313,64.25672,0.5794591,,27.346832,29.359966,25.313005,11.960576,18.490763
2019-04-26,28.856054,25.758802,84.00309,95.40996,64.26116,2.1831439,,26.84423,28.856054,25.758802,12.635131,17.337307
2019-04-27,29.15214,24.854599,85.01386,95.44679,70.26562,0.43865496,,26.741627,29.15214,24.854599,13.643514,14.766093
2019-04-28,28.098227,24.850399,86.02462,95.48363,69.27007,4.7005115,,26.139023,28.098227,24.850399,10.990113,9.929809
